S.No,Question,Answer
,data,"the quantities, characters, or symbols on which operations are performed by a computer, being stored and transmitted in the form of electrical signals and recorded on magnetic, optical, or mechanical recording media."
,Data Science,"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms and systems to extract knowledge and insights from noisy, structured and unstructured data, and apply knowledge and actionable insights from data across a broad range of application domains. Data science is related to data mining, machine learning and big data."
,Where should I learn Data Science from?,"Kaggle is the most popular learning platform amongst the respondents. However, there is a possibility that their responses may have been biased on account of Kaggle conducting this survey."
,Do I need an extremely powerful computer to do Data Science?,"While this may be the case for industrial level Deep Learning, an ordinary personal computer suffices for most cases"
,"Can you recommend some blogs, podcasts, courses, etc. that I can follow?","KDNuggets Blog, R Bloggers Blog Aggregator and O’Reilly Data Newsletter are the most popular blogs and podcasts among our respondents"
,What skills are most important in Data Science Jobs?,"Python, Statistics and Visualizations are amongst the most important skills that a Data Scientist must possess while on the job. MOOCs and Enterprise Tools are relatively unnecessary in most Data Science Jobs."
,Where can I get datasets from for my personal and coursework projects?,Dataset Aggregators such as Kaggle and Socrata are the most popular platforms for people to find datasets for personal projects. Generic Google Searches and University/Non Profit Research Group Websites figure in at second and third respectively.
,What does a Data Science Job usually involve?,A very common misconception is that data scientists spend the majority of their time building predictive models and feature engineering.
,What factors should I consider while looking for a Data Science Job?,"Learning Opportunity is the biggest factor that our respondents consider while applying for Data Science Jobs. Office, Languages Used, Salary and Management are the other important factors to consider while looking for a job."
,How important is a degree to be successful in Data Science?,"With the plethora of free resources and professional online certifications available online, a question most of us have in our mind is how important it is to get a relevant University degree in order to train ourselves in the field."
,Where do I start learning Data Science?,Respondents started their Data Science journey with Online Courses and Self Learning. University courses came in second.
,What are the most important things to have on a Data Science resume?,"Work Experience in the field is the most important indicator of a person’s expertise in Data Science. Kaggle Competitions results come in second. Interestingly, our respondents place a high value on Online Courses and Certifications although their presence and potency in a resume is still hotly debated."
