question,answer
data,"the quantities, characters, or symbols on which operations are performed by a computer, being stored and transmitted in the form of electrical signals and recorded on magnetic, optical, or mechanical recording media."
data science,"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms and systems to extract knowledge and insights from noisy, structured and unstructured data, and apply knowledge and actionable insights from data across a broad range of application domains. Data science is related to data mining, machine learning and big data."
where should i learn data science from,"Kaggle is the most popular learning platform amongst the respondents. However, there is a possibility that their responses may have been biased on account of Kaggle conducting this survey."
do i need an extremely powerful computer to do data science,"While this may be the case for industrial level Deep Learning, an ordinary personal computer suffices for most cases"
can you recommend some blog podcasts course etc that i can follow,"KDNuggets Blog, R Bloggers Blog Aggregator and O’Reilly Data Newsletter are the most popular blogs and podcasts among our respondents"
what skill are most important in data science job,"Python, Statistics and Visualizations are amongst the most important skills that a Data Scientist must possess while on the job. MOOCs and Enterprise Tools are relatively unnecessary in most Data Science Jobs."
where can i get datasets from for my personal and coursework project,Dataset Aggregators such as Kaggle and Socrata are the most popular platforms for people to find datasets for personal projects. Generic Google Searches and University/Non Profit Research Group Websites figure in at second and third respectively.
what doe a data science job usually involve,A very common misconception is that data scientists spend the majority of their time building predictive models and feature engineering.
what factor should i consider while looking for a data science job,"Learning Opportunity is the biggest factor that our respondents consider while applying for Data Science Jobs. Office, Languages Used, Salary and Management are the other important factors to consider while looking for a job."
how important is a degree to be successful in data science,"With the plethora of free resources and professional online certifications available online, a question most of us have in our mind is how important it is to get a relevant University degree in order to train ourselves in the field."
where do i start learning data science,Respondents started their Data Science journey with Online Courses and Self Learning. University courses came in second.
what are the most important thing to have on a data science resume,"Work Experience in the field is the most important indicator of a person’s expertise in Data Science. Kaggle Competitions results come in second. Interestingly, our respondents place a high value on Online Courses and Certifications although their presence and potency in a resume is still hotly debated."
do i need to know the math behind the ml algorithm i use,"From the responses gathered in the survey, it seems like the majority of our respondents have a fairly good understanding of the math behind the algorithms (enough to explain it to a non technical person). Less than a 1000 people (or 15%) knew just enough to run an ML standard library. Since most of the people in our population are employed, it would be good advice to encourage people to learn the math."
